hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
ダイワロイネットホテル那覇おもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134763,3550,098-862-4555,4.4
ホテルリソルトリニティ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182884,4300,098-863-9269,4.43
ダイワロイネットホテル那覇おもろまちＰＲＥＭＩＥＲ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=188000,5000,098-862-5055,4.58
ロワジールホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16443,6800,098-868-2222,4.0
リーガロイヤルグラン沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136808,6440,098-867-3331,4.7
西鉄リゾートイン那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130025,4000,098-869-5454,4.29
ダイワロイネットホテル那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128440,3830,098-868-9055,4.36
ＨＯＴＥＬ　ＳＡＮＳＵＩ　ＮＡＨＡ　琉球温泉　波之上の湯,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178447,4080,0120-996-941,4.24
ダイワロイネットホテル沖縄県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104526,4070,098-860-1855,4.14
ホテル　ロコア　ナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=71990,5300,098-868-6578,4.3
ハイアットリージェンシー那覇沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148000,9566,098-866-8888,4.48
ノボテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167519,4675,098-887-1111,4.45
ヒューイットリゾート那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181785,6840,098-943-8325,4.23
ロワジールスパタワー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=78094,8797,098-868-2222,3.95
ホテルアベスト那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=146927,3520,098-943-5800,4.04
リッチモンドホテル那覇久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19934,3275,098-869-0077,4.5
ソルヴィータホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=43753,3650,098-863-1234,4.25
ホテルグレイスリー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149369,5000,098-867-6111,4.44
Ｓｏｕｔｈｗｅｓｔ　Ｇｒａｎｄ　Ｈｏｔｅｌ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184913,13360,098-860-0421,4.52
アルモントホテル那覇おもろまち(旧ホテル法華クラブ那覇新都心),https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40768,3200,098-860-6611,4.59
沖縄ハーバービューホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176757,4250,098-853-2111,4.39
ホテル　ストレータ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178292,4800,098-860-7400,4.56
コンフォートイン那覇泊港,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182682,3600,098-866-4711,4.06
ホテルパームロイヤルNAHA国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38282,4300,098-865-5551,4.29
ＪＲ九州ホテル　ブラッサム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160939,7700,098-861-8700,4.47
ホテルルートイン那覇泊港,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56974,4400,098-866-0700,4.19
アパホテル〈那覇松山〉,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67292,3900,0570-004-711,3.96
コンフォートホテル那覇県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=73870,3200,098-941-7311,4.29
サンプラザホテル＜沖縄県＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18195,3000,098-866-0920,4.25
スマイルホテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67438,3040,098-866-8100,4.01
